City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port hardy,50.6996,-127.4199,7.1,70,75,5.66,CA,Mon Mar  6 17:32:47 2023
1,barrow,71.2906,-156.7887,-9.99,85,100,8.75,US,Mon Mar  6 17:31:24 2023
2,rio grande,-32.035,-52.0986,25.06,88,100,7.73,BR,Mon Mar  6 17:32:47 2023
3,bethel,41.3712,-73.414,9.87,31,0,5.66,US,Mon Mar  6 17:30:18 2023
4,la ronge,55.1001,-105.2842,-14.88,39,0,2.06,CA,Mon Mar  6 17:32:48 2023
5,albany,42.6001,-73.9662,5.23,49,77,4.79,US,Mon Mar  6 17:30:37 2023
6,cherskiy,68.75,161.3,-32.51,94,24,1.62,RU,Mon Mar  6 17:32:48 2023
7,port alfred,-33.5906,26.891,18.99,93,54,1.79,ZA,Mon Mar  6 17:32:48 2023
8,clyde river,70.4692,-68.5914,-11.87,85,20,2.06,CA,Mon Mar  6 17:32:49 2023
9,butaritari,3.0707,172.7902,27.0,78,81,5.15,KI,Mon Mar  6 17:30:00 2023
10,rikitea,-23.1203,-134.9692,26.95,77,100,10.12,PF,Mon Mar  6 17:32:49 2023
11,mataura,-46.1927,168.8643,14.71,43,99,1.6,NZ,Mon Mar  6 17:32:50 2023
12,ambilobe,-13.2,49.05,23.32,95,61,1.44,MG,Mon Mar  6 17:32:50 2023
13,dingle,10.9995,122.6711,23.42,89,4,3.84,PH,Mon Mar  6 17:32:41 2023
14,busselton,-33.65,115.3333,13.04,78,0,5.75,AU,Mon Mar  6 17:30:08 2023
15,jamestown,42.097,-79.2353,4.77,61,100,4.63,US,Mon Mar  6 17:22:57 2023
16,cape town,-33.9258,18.4232,18.95,76,20,10.29,ZA,Mon Mar  6 17:30:04 2023
17,ushuaia,-54.8,-68.3,9.79,76,75,7.72,AR,Mon Mar  6 17:32:51 2023
18,wadena,46.4425,-95.1361,2.86,51,0,5.14,US,Mon Mar  6 17:32:51 2023
19,kodiak,57.79,-152.4072,2.73,75,0,2.06,US,Mon Mar  6 17:29:24 2023
20,cairns,-16.9167,145.7667,26.73,97,75,1.54,AU,Mon Mar  6 17:32:52 2023
21,castro,-24.7911,-50.0119,18.4,91,95,1.85,BR,Mon Mar  6 17:25:27 2023
22,farah,32.5,62.5,16.16,31,0,0.15,AF,Mon Mar  6 17:32:52 2023
23,tsiroanomandidy,-18.7667,46.0333,19.54,96,93,1.94,MG,Mon Mar  6 17:32:53 2023
24,mpika,-11.8343,31.4529,15.86,97,94,0.6,ZM,Mon Mar  6 17:32:53 2023
25,honiara,-9.4333,159.95,29.73,65,86,1.04,SB,Mon Mar  6 17:32:53 2023
26,reading,51.4562,-0.9711,5.92,77,100,2.06,GB,Mon Mar  6 17:30:41 2023
27,kargasok,59.0556,80.8572,-2.27,89,100,8.28,RU,Mon Mar  6 17:32:54 2023
28,sanandaj,35.3144,46.9923,11.01,54,40,8.23,IR,Mon Mar  6 17:32:54 2023
29,nouakchott,18.0858,-15.9785,24.96,38,100,5.45,MR,Mon Mar  6 17:32:55 2023
30,ishigaki,24.3448,124.1572,19.07,55,100,4.12,JP,Mon Mar  6 17:32:55 2023
31,cabo san lucas,22.8909,-109.9124,26.45,38,0,6.17,MX,Mon Mar  6 17:31:02 2023
32,tasiilaq,65.6145,-37.6368,-5.91,77,96,1.42,GL,Mon Mar  6 17:32:55 2023
33,madawaska,47.3561,-68.3288,-1.83,76,100,9.77,US,Mon Mar  6 17:32:56 2023
34,ponta delgada,37.7333,-25.6667,17.4,88,75,8.75,PT,Mon Mar  6 17:31:55 2023
35,qaanaaq,77.484,-69.3632,-8.88,85,86,3.13,GL,Mon Mar  6 17:32:56 2023
36,henties bay,-22.116,14.2845,16.79,88,56,3.25,NA,Mon Mar  6 17:32:56 2023
37,vaitape,-16.5167,-151.75,25.58,80,100,6.36,PF,Mon Mar  6 17:32:57 2023
38,axim,4.8699,-2.2405,26.51,85,66,5.42,GH,Mon Mar  6 17:32:57 2023
39,dunedin,-45.8742,170.5036,16.56,67,100,1.79,NZ,Mon Mar  6 17:30:14 2023
40,kavieng,-2.5744,150.7967,27.46,75,98,0.66,PG,Mon Mar  6 17:32:57 2023
41,portland,45.5234,-122.6762,11.16,68,75,6.69,US,Mon Mar  6 17:20:07 2023
42,san patricio,28.017,-97.5169,30.4,62,76,6.98,US,Mon Mar  6 17:32:58 2023
43,tual,-5.6667,132.75,28.11,79,100,7.53,ID,Mon Mar  6 17:32:58 2023
44,salta,-24.7859,-65.4117,26.33,81,20,1.34,AR,Mon Mar  6 17:32:59 2023
45,kapaa,22.0752,-159.319,26.18,73,20,6.17,US,Mon Mar  6 17:32:59 2023
46,mahebourg,-20.4081,57.7,25.16,94,75,1.03,MU,Mon Mar  6 17:32:59 2023
47,hay river,60.8156,-115.7999,-15.01,47,20,4.12,CA,Mon Mar  6 17:33:00 2023
48,bredasdorp,-34.5322,20.0403,17.32,77,36,4.47,ZA,Mon Mar  6 17:33:00 2023
49,aswan,24.0934,32.907,23.61,23,0,4.12,EG,Mon Mar  6 17:33:00 2023
50,lichinga,-13.3128,35.2406,17.01,95,100,0.88,MZ,Mon Mar  6 17:33:00 2023
51,faanui,-16.4833,-151.75,25.58,80,100,6.25,PF,Mon Mar  6 17:33:01 2023
52,murchison,-41.8,172.3333,20.08,44,44,1.31,NZ,Mon Mar  6 17:33:01 2023
53,khatanga,71.9667,102.5,-31.52,100,99,1.87,RU,Mon Mar  6 17:30:54 2023
54,new norfolk,-42.7826,147.0587,14.95,63,70,2.68,AU,Mon Mar  6 17:33:02 2023
55,puerto ayora,-0.7393,-90.3518,27.98,91,93,2.68,EC,Mon Mar  6 17:31:59 2023
56,nouadhibou,20.931,-17.0347,22.99,49,20,7.2,MR,Mon Mar  6 17:33:02 2023
57,guerrero negro,27.9769,-114.0611,16.13,63,100,10.08,MX,Mon Mar  6 17:33:02 2023
58,mitu,1.1983,-70.1733,23.89,96,98,0.8,CO,Mon Mar  6 17:33:03 2023
59,winslow,35.0242,-110.6974,18.1,8,0,10.29,US,Mon Mar  6 17:33:03 2023
60,nikolskoye,59.7035,30.7861,-5.06,99,91,1.43,RU,Mon Mar  6 17:33:04 2023
61,vaini,-21.2,-175.2,28.09,69,40,3.6,TO,Mon Mar  6 17:30:37 2023
62,waddan,29.1614,16.139,14.51,31,30,3.75,LY,Mon Mar  6 17:33:04 2023
63,nelson bay,-32.7167,152.15,27.83,55,14,2.68,AU,Mon Mar  6 17:33:05 2023
64,linguere,15.3953,-15.1193,30.35,11,97,4.16,SN,Mon Mar  6 17:33:05 2023
65,thompson,55.7435,-97.8558,-16.91,55,20,4.12,CA,Mon Mar  6 17:30:49 2023
66,rawlins,41.7911,-107.2387,-3.69,80,100,5.14,US,Mon Mar  6 17:31:51 2023
67,trat,12.5,102.5,22.71,85,0,1.47,TH,Mon Mar  6 17:33:06 2023
68,talakan,50.3167,130.3667,-12.48,94,71,1.08,RU,Mon Mar  6 17:33:06 2023
69,carutapera,-1.195,-46.02,24.54,94,100,3.07,BR,Mon Mar  6 17:33:07 2023
70,victoria,22.2855,114.1577,18.51,59,5,2.68,HK,Mon Mar  6 17:30:48 2023
71,chokurdakh,70.6333,147.9167,-42.2,100,91,1.28,RU,Mon Mar  6 17:31:03 2023
72,nishihara,26.1842,127.7558,15.6,65,20,3.6,JP,Mon Mar  6 17:33:07 2023
73,iskateley,67.6803,53.1512,-28.15,97,84,1.45,RU,Mon Mar  6 17:33:08 2023
74,carnarvon,-24.8667,113.6333,24.95,70,0,8.08,AU,Mon Mar  6 17:33:08 2023
75,hofn,64.2539,-15.2082,-4.91,59,74,9.61,IS,Mon Mar  6 17:31:12 2023
76,punta arenas,-53.15,-70.9167,10.01,61,40,11.32,CL,Mon Mar  6 17:30:01 2023
77,kaitangata,-46.2817,169.8464,15.89,57,100,1.62,NZ,Mon Mar  6 17:33:09 2023
78,aklavik,68.2191,-135.0107,-23.0,70,0,1.03,CA,Mon Mar  6 17:30:07 2023
79,palmer,42.1584,-72.3287,7.75,25,40,6.17,US,Mon Mar  6 17:33:10 2023
80,ust-maya,60.4167,134.5333,-16.22,97,100,1.45,RU,Mon Mar  6 17:33:11 2023
81,georgetown,5.4112,100.3354,25.96,79,20,2.57,MY,Mon Mar  6 17:33:11 2023
82,tessalit,20.1986,1.0114,22.64,11,88,3.51,ML,Mon Mar  6 17:33:12 2023
83,hobart,-42.8794,147.3294,15.14,60,40,8.23,AU,Mon Mar  6 17:30:02 2023
84,atuona,-9.8,-139.0333,26.75,78,9,5.12,PF,Mon Mar  6 17:31:00 2023
85,tevaitoa,-16.7833,-151.5,25.57,81,100,7.85,PF,Mon Mar  6 17:33:13 2023
86,aktash,50.3,87.7333,-11.03,88,100,1.55,RU,Mon Mar  6 17:33:13 2023
87,yellowknife,62.456,-114.3525,-21.36,71,20,5.66,CA,Mon Mar  6 17:30:21 2023
88,raudeberg,61.9875,5.1352,-2.85,59,100,7.12,NO,Mon Mar  6 17:33:14 2023
89,saskylakh,71.9167,114.0833,-30.12,100,100,1.87,RU,Mon Mar  6 17:33:14 2023
90,smithers,54.7804,-127.1743,-8.82,45,75,1.54,CA,Mon Mar  6 17:30:20 2023
91,ponta do sol,32.6667,-17.1,20.0,92,89,2.84,PT,Mon Mar  6 17:33:15 2023
92,vallenar,-28.5708,-70.7581,24.09,49,0,2.55,CL,Mon Mar  6 17:33:16 2023
93,songadh,21.1667,73.5667,21.95,48,31,2.56,IN,Mon Mar  6 17:33:16 2023
